SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CHNG,%CHNG,VOLUME,VALUE,52W H,52W L,365 D % CHNG,30 D % CHNG
ADANIPORTS,743.00,747.00,735.70,736.60,738.00,1.4,0.19,2824874,"2,092,610,161.72",901.00,489.50,46.19,-0.12
ASIANPAINT,"3,434.00","3,454.00","3,415.05","3,422.40","3,443.50",21.1,0.62,437673,"1,502,181,270.60","3,505.00","2,260.00",23.31,10.03
AXISBANK,701.00,709.80,700.05,696.35,704.35,8.0,1.15,6194227,"4,370,212,975.31",866.90,616.00,11.63,3.47
BAJAJ-AUTO,"3,284.00","3,316.00","3,270.65","3,277.10","3,309.35",32.25,0.98,150189,"495,900,047.76","4,361.40","3,027.05",-5.86,-0.33
BAJAJFINSV,"17,099.00","17,184.55","16,852.10","16,981.30","17,082.15",100.85,0.59,151077,"2,576,352,339.48","19,325.00","8,273.70",91.44,-2.9
BAJFINANCE,"7,250.00","7,333.75","7,235.50","7,219.60","7,276.00",56.4,0.78,582913,"4,247,348,941.46","8,050.00","4,362.00",36.73,2.13
BHARTIARTL,692.25,703.25,690.40,691.30,701.75,10.45,1.51,3829273,"2,665,365,471.65",781.80,494.60,34.19,-3.77
BPCL,388.00,393.75,385.60,386.10,386.30,0.2,0.05,4149541,"1,614,959,861.79",503.00,357.40,1.09,0.05
BRITANNIA,"3,623.00","3,643.60","3,610.00","3,617.55","3,625.20",7.65,0.21,252699,"916,390,180.59","4,153.00","3,317.30",1.39,1.8
CIPLA,937.45,937.45,920.25,930.50,922.70,-7.8,-0.84,766145,"709,657,129.15","1,005.00",738.10,12.57,2.02
COALINDIA,156.00,156.65,153.05,155.30,153.15,-2.15,-1.38,9653219,"1,494,125,236.82",203.80,123.40,14.74,-2.79
DIVISLAB,"4,652.10","4,679.95","4,609.00","4,651.25","4,637.10",-14.15,-0.3,134395,"622,353,678.10","5,425.10","3,153.30",20.84,-2.22
DRREDDY,"4,861.00","4,892.90","4,828.05","4,853.15","4,850.00",-3.15,-0.06,152578,"740,580,044.84","5,614.60","4,135.00",-7.41,5.58
EICHERMOT,"2,715.00","2,724.90","2,691.15","2,718.80","2,699.90",-18.9,-0.7,444035,"1,203,814,407.80","3,037.00","2,303.70",6.93,10.72
